Time	ID	Name	Location	Retweet_time	Tweet
2018-05-09 14:53:48	955220291684306944	Lets Leave This Alone For Now	Indianapolis, IN	0	will never fly AT_USER airlines anymore dirty plane can t even sit in my seat because another passenger has an iss _URL
2018-05-09 14:51:42	873334105160663041	Ty Waters	Vancouver, WA	0	expect air travel delays today at sfo msp stl ord phl travel safely on your preferred boycott carrier of choice wh _URL
2018-05-09 14:50:32	705896714348195840	Alfred Diaz		0	AT_USER i m so dissatisfied with your service been flying with you guys for years diamond member 9160069358 the la _URL
2018-05-09 14:46:07	768001422	Robyn L.  Grammatico	New York, USA	0	it was the 4 jerks who are to blame amp the leak at the delta airlines cheryl amp andy were very gracious _URL
2018-05-09 14:45:08	873334105160663041	Ty Waters	Vancouver, WA	0	boycott delta airlines _URL
2018-05-09 14:44:29	940000267503890432	Ian Matchett	La Crosse, WI	0	finally after 9 months of suffering through american airlines i get to be switched back to delta and i couldn t be any happier 
2018-05-09 14:39:41	18008484	B N Sullivan	Hawaii & Colorado,  USA	0	scared delta passengers forced to evacuate plane after smoke pours into cabin business insider _URL airlines
2018-05-09 14:32:43	5920532	Delta	Global	0	AT_USER hi jodi we try to stay competitive with other airlines we certainly don t want to lose you as a pass _URL
2018-05-09 14:27:51	755180687234260992	Kristen Vaughn	Atlanta, GA	1	rt AT_USER delta airlines AT_USER AT_USER AT_USER career day 2018 _URL
2018-05-09 14:20:52	712407665293578240	Kelly Anne Beile🐬	El Paso, TX	0	AT_USER i m not sure there is definitive answer from my personal experience the airlines i ve always flo _URL
2018-05-09 14:12:33	453113206	KERRY K DOWNS	on the ground	0	check out delta airlines bar plastic drink coasters airplane keychain junior wings set lot _URL via AT_USER
2018-05-09 14:10:02	86561572	Online Operations	UK	0	AT_USER thanks for not answering my question why is there no lounge in kingston or a partnership arrangement with t _URL
2018-05-09 14:07:32	3091353525	Dr. Stephanie Golden	Georgia	1	delta airlines AT_USER AT_USER AT_USER career day 2018 _URL
2018-05-09 13:55:53	612129565	R. Wolfe	San Antonio, TX	1	rt AT_USER AT_USER not a delta policy and that flight attendent will regret the decission no party in this incident is asking for a bo 
2018-05-09 13:39:50	117846137	Evelio Silvera	Florida	0	AT_USER AT_USER well my friend american airlines is not much better 
2018-05-09 13:24:23	32329555	Dina Solomon	Planet Earth, Milky Way!!!	5	rt AT_USER AT_USER are flying many old aircraft who knows if they are cutting corners on servicing i am tired of sub standard ai 
2018-05-09 13:14:52	621182770	Travel Touris go		0	passengers evacuate delta air lines jet at dia because of smoke in fox31 denver _URL
2018-05-09 12:54:07	991433622191210497	Hotels Discounts		0	the world s oldest airlines by telegraph travel klm 1919 qantas 1920 aeroflot 1923 czech airlines 1923 fi _URL
2018-05-09 12:41:36	329090201	RenesPoints●com ✈️	✈ Check ☟ out ☟ my blog ☟	0	how airlines including delta aim to use big data to boost profits paxex it _URL via _URL
2018-05-09 12:40:13	35025688	wnleon	Central Cali	1	AT_USER not a delta policy and that flight attendent will regret the decission no party in this incident is ask _URL
2018-05-09 12:36:20	989191167769268225	Attila Gorfol	Veszprém, Magyarország	1	rt AT_USER delta airlines flight from hell evacuated as smoke pours into cabin _URL
2018-05-09 12:35:27	38142380	Evening Standard	London	1	delta airlines flight from hell evacuated as smoke pours into cabin _URL
2018-05-09 12:26:34	2212318395	Dev		0	delta airlines flight 1854 from detroit evacuated upon landing in denver after smoke reported on plane delta _URL
