Time	ID	Name	Location	Retweet_time	Tweet
2018-05-14 06:03:17	4865187887	Rave Review	Raleigh, NC	0	marketing day instagram s new payment feature augmented reality games amp google assistant _URL marketing
2018-05-14 06:03:05	1201615495	சுப்புணி	Chennai, Tamil Nadu	26	rt AT_USER hey google tell my wife that i will be late and won t be there for the dinner google assistant okay will do after somet 
2018-05-14 06:01:47	903453582	pradeep.dr	Bangalore	0	man hey google tell my wife that i cant make it for the dinner along with her parents google assistant okay w _URL
2018-05-14 06:01:24	473240233	Tayyub	جسٹن ٹُروڈو کے دیس	0	man okay google tell my wife that i cannot join the dinner tonight with her parents google assistant okay wil _URL
2018-05-14 06:00:34	1920520189	Splendidum	London, England	0	google amp 8217 s latest assault on apple proves how far behind siri really is _URL socialmedia bloggers
2018-05-14 06:00:00	2215996446	Hoxell	Lugano	0	AT_USER assistant to call restaurants amp make reservations for you _URL _URL
2018-05-14 05:59:34	3418913993	SJT	Earth	0	AT_USER assistant knows how to answer questions about marvel and dc _URL
2018-05-14 05:59:21	1625570058	Pankaj Tahalani	Varanasi, India	1	rt AT_USER man hey google tell my wife that i cant make for the dinner with her parents google assistant okay will do after so 
2018-05-14 05:58:04	15413507	Nicholas Davis	Geneva	4	rt AT_USER google now says controversial ai voice calling system will identify itself to humans _URL
2018-05-14 05:56:06	917359243736395776	Startup Selfie		0	google assistant can now have real life conversations _URL via AT_USER
2018-05-14 05:55:12	708893361860517888	#AndroidDev		1	rt AT_USER siri can you do this googleduplex assistant googleio google androidp androiddev _URL
2018-05-14 05:54:59	186460359	Online Marketing		0	soundbar met google assistant en android tv _URL
2018-05-14 05:54:53	162316775	लालू पांडे	Naugarh, India	0	man hey google tell my wife that i cant make for the dinner with her parents google assistant okay will do _URL
2018-05-14 05:54:53	2647692570	Tahsin Engin	Serdivan, Sakarya	48	rt AT_USER AT_USER assistant will be able to make actual phone calls for you _URL
2018-05-14 05:54:48	3230463824	Anshu Vats🌠	Mumbai_India	5	rt AT_USER man hey google tell my wife that i cant make for the dinner along with her parents google assistant okay will do a 
2018-05-14 05:54:09	85736555	Jage	Kalamazoo, MI	0	this seems useful now google assistant can call your parents _URL
2018-05-14 05:54:06	4817737953	Josh Dalto		1	siri can you do this googleduplex assistant googleio google androidp androiddev _URL
2018-05-14 05:52:52	44594219	Harsh Bhatia	New Delhi	0	AT_USER AT_USER u really need to train deepa to respond to queries google assistant can do better than her t _URL
2018-05-14 05:52:37	2726025501	leon Cullen	London 	4	rt AT_USER ethical issues google s assistant app is becoming convincingly human but some humans aren t convinced by AT_USER
2018-05-14 05:51:02	14739109	Tahetoka - Amber	Te Whanganui-a-Tara, Aotearoa	0	google assistant is slightly terrifying 
2018-05-14 05:50:57	2296437414	Pug'makar Goldie	Bangalore	0	man hey google tell my wife that i cant make for the dinner along with her parents google assistant okay will _URL
2018-05-14 05:50:53	893765322947215360	Sharma Ji Ka Beta!🔥	#dillisehunbhenchoo	2	rt AT_USER man hey google tell my wife that i cant make for the dinner along with her parents google assistant okay will do 
2018-05-14 05:50:42	19234551	Prof. Mike Yearworth	European Union	1	rt AT_USER for me the most troubling aspect of the whole isseu is that seemingly no one thought of ethical and social impact during desig 
2018-05-14 05:50:38	53288160	Ines Aryono	The western sky	924	rt AT_USER i am genuinely bothered and disturbed at how morally wrong it is for the google assistant voice to act like a human and d 
