Time	ID	Name	Location	Retweet_time	Tweet
2018-05-08 08:01:47	622600007	Janine Alfonga	Bacolod City, Western Visayas	0	watching ready player one movie
2018-05-08 07:51:44	21528392	Arch		0	AT_USER it reminds me more of that ready player one vr world except instead of pop culture avatars it s all nic _URL
2018-05-08 07:51:13	39450250	chad mullins.	the yo [330]	1	rt AT_USER rodney hood refusing to take the minutes at the end is wack for multiple reasons one it shows you not a team player 
2018-05-08 07:50:20	2646863388	เพิ่มคุณค่าทางสารอาหารควรใส่เนื้อและไข่ลวกสุก	อาณาจักรเทร่า	154	rt AT_USER ready player one the avengers au thor loki thorki steverogers bucky stucky killmonger tchalla killchalla _URL
2018-05-08 07:46:55	16541011	90742pm		0	check out AT_USER AT_USER the last jedi contest to win the new movie on blu ray dvd as well as a brand new _URL
2018-05-08 07:42:19	89873366	Perfect White Shirt	Philippines	0	ready player one php 500 each for shipping provincial orders please click the link below _URL
2018-05-08 07:41:10	1115886662	Adam Concept	Brooklyn, NY	0	AT_USER you know what would be cool a ready player one show just a thought
2018-05-08 07:40:28	85837912	À une seconde près, un meilleur homme	Toulouse	0	AT_USER AT_USER still better than ready player one
2018-05-08 07:27:48	939659395834761216	AnimusTheHUN		0	AT_USER like in ready player one you can earn money with do special mission quests or killing npc bosses play _URL
2018-05-08 07:25:40	29279340	Ann Frances	Michigan by way of Philly	0	ready player one in real life world of warcraft currency is now worth 7 times as much as venezuela s cash _URL
2018-05-08 07:21:05	16596629	the revived lemur		0	watched wargames again the first third is a better movie about figuring out a back door easter egg than the whole _URL
2018-05-08 07:20:42	209781826	michael	Los Angeles	0	ready player one was fuckin incredible easily in my top 5 now of all time when the gundam showed up my brain exploded 
2018-05-08 07:20:36	706448398484803584	Shadinski	Australia	0	AT_USER did they play any before ready player one i can t remember lmao
2018-05-08 07:19:02	988885588936871936	D-Gil	Westminster, CA	0	AT_USER ultimate counter gif extra life from ready player one 
2018-05-08 07:17:29	87371790	𝓛𝓸𝓿𝓮, 𝓔𝓾𝓷𝓪	Quezon City, Philippines	0	85 done with ready player one by ernest cline _URL
2018-05-08 07:12:45	25398989	SAD DAD	Japan	10	rt AT_USER ready player one 2018 _URL
2018-05-08 07:12:23	3828678679	승리; 🐃	cdmx;lge	0	here is 2 am i was working in photoshop making a ready player one bts version but 5 min ago my computer die i t _URL
2018-05-08 07:10:08	2391052638	Shad0w721		0	saw ready player one it was how do you do fellow kids th3 m0v13 kinda interested in the book this was based o _URL
2018-05-08 07:07:35	21222599	🌈🤷🏼‍♀️👩🏼‍🎤Avengers: InfiniWendy Lady☕️🌮🦄	A shithole country	0	AT_USER AT_USER AT_USER yes there s that too of course my lazy butt never gets up early enough f _URL
2018-05-08 07:07:12	2797210521	Juliash Ko	Vancouver, British Columbia	0	there s a moment in ready player one in which steven spielberg demonstrates why none of the slavish pretenders to h _URL
2018-05-08 07:06:30	944143803136405505	105-		4608	rt AT_USER btsfanart jungkook ready player one AT_USER jungkook as golden jk this one took me forever but it s quite sat 
2018-05-08 06:59:21	856458868486017024	SmashbombBooks		1	rt AT_USER now to watch the movie read this rating of ready player one by me at AT_USER _URL books AT_USER
2018-05-08 06:58:15	61177265	Wanderer	Nairobi, Kenya	0	ready player one official trailer 1 hd _URL youtube
2018-05-08 06:58:10	2360222892	David	Right now Wisconsin	0	on page 200 of 374 of ready player one by ernest cline _URL
2018-05-08 06:57:53	3308506558	matti		189	rt AT_USER ultimate showdown of ultimate destiny gt ready player one
2018-05-08 06:56:21	3308506558	matti		251	rt AT_USER thank you sidenote i ve seen ultimate showdown linked and reupped on twitter more this year than ever mostly due to peopl 
2018-05-08 06:52:53	112191211	Muh. Hadi Susetyo	Malang-Balikpapan-Indonesia	0	ready player one _URL
2018-05-08 06:49:48	2833977012	fern		0	26 the phanthom thread ready player one
2018-05-08 06:43:11	359386254	laura		0	AT_USER ready player one finally
2018-05-08 06:40:00	252395792	Okoye’s Real Ozzband, T’Marcus	Body in Houston, Heart in Dellus	1	rodney hood refusing to take the minutes at the end is wack for multiple reasons one it shows you not a team play _URL
2018-05-08 06:29:50	46603982	Written & Directed by Greta Gerwig	HELL	0	ready player one 2018 _URL
2018-05-08 06:28:40	739900391501004800	Hayley	Doncaster/Leicester/Stafford	1	rt AT_USER just about to start reading ready player one as part of my 5 things to try before july challenge i set myself check o 
2018-05-08 06:27:16	782462340470013953	ColThat! UK	United Kingdom	0	now in stock ready player one funko action figures 4 pack due apr 2018 29 99 for more details _URL
2018-05-08 06:24:41	1488504690	MX. TRX		0	and also ready player one is ya s version of snow crash with sightly less rape people are so ready to defend thei _URL
2018-05-08 06:24:38	1296884610	DC Chronicles	California	0	i liked a AT_USER video _URL rejected theme song from ready player one
2018-05-08 06:24:31	232132453	Andrew Sangalang	Port Coquitlam, BC, Canada	0	i liked a AT_USER video _URL ready player one dreamer trailer hd 
2018-05-08 06:10:43	2364896095	Mike #LbT	DC	0	i need there to be a vr game or game in general as complex as ready player one is that kind of game would change t _URL
2018-05-08 06:07:11	2364896095	Mike #LbT	DC	0	man ready player one was a good ass movie don t know why it got soo much flak 
2018-05-08 06:00:34	386134302	Francesco Pallotta #AR #VR	Roma	0	 ready player one behind the scenes shows how spielberg used vr in production _URL
2018-05-08 05:56:21	20600882	Krinn DNZ	San Francisco, CA	17	rt AT_USER ready player one except it s all mel brooks movies
2018-05-08 05:55:46	777834278566658048	Ed Malcomson	London, England	4	rt AT_USER readyplayerone quality popcorn from stevenspielberg here s my review _URL readyplayeronemovi 
2018-05-08 05:51:13	797566367289446400	cori 📺 00:15	space, probably	0	remember steven universe has a convenient rock form but if you eat steven spielberg you get gamer powers because he made ready player one
2018-05-08 05:48:39	380238696	☯ BlackBeltPanda ☷	New York, USA	0	finally watched ready player one was very entertaining but also highly disappointing almost zero resemblance to the book 
2018-05-08 05:47:15	916130242585964544	jeff kaplan from the overwatch team	north van	0	ready player one was as bland as i thought it d be
2018-05-08 05:43:15	4196775734	Nathan Snyder		0	12 ready player one is more enjoyable if you turn your brain off 
2018-05-08 05:34:56	883693093840670720	Mounir Maged Safwat		0	AT_USER i seriously hate that kind of logic if you hate comic book movies why do you even watch them w _URL
2018-05-08 05:30:19	47013047	NIK 🦊	Barrie / Toronto	0	wait i just clued i that this is h from ready player one _URL
2018-05-08 05:26:58	25159325	Ian	San Francisco, CA	0	AT_USER AT_USER honestly thought this was about ready player one at first 
2018-05-08 05:23:49	29274115	Sage Catharis	*-------------------right here	1	a mil point five starry expanse stayin young zed looking gud obduction the psvr _ what else quern getting go _URL
