Time	ID	Name	Location	Retweet_time	Tweet
2018-05-08 08:57:10	332897589	loislane	Texas, USA	15440	rt AT_USER today it was my great honor to thank and welcome heroic crew members and passengers of southwest airlines flight 1380 
2018-05-08 08:51:27	837384658623086593	Hamza Bashir Ahmad		0	pickup truck crashes into southwest airlines plane at baltimore airport _URL
2018-05-08 08:49:52	744868727871635456	crewroom		0	pickup truck hit a southwest airlines boeing 737 _URL
2018-05-08 08:43:24	2197262139	Deborah Griffin		0	pornu sex naked girls on beach video naked flexible girls guys southwest airlines girl naked looking for _URL
2018-05-08 08:40:35	956574676339253248	GN magazine		0	pickup truck crashes into southwest airlines plane at baltimore airport _URL
2018-05-08 08:31:10	1700960346	samantha eldredge	www.supergirlwraps.com	0	can t wait to snuggle my mini me traveling to indianapolis indiana from southwest airlines at tpa _URL
2018-05-08 08:15:40	3798236174	upen kumar mahato		0	pickup truck crashes into southwest airlines plane at baltimore airport _URL
2018-05-08 08:01:40	2360668272	R.T	Greater Noida, India	0	passenger on flight with engine explosion sues southwest airlines luvtyagiwinninghearts _URL _URL
2018-05-08 07:40:13	63517897	David DiGregorio	New York	0	southwest airlines plane struck by truck at bwi airport wjla wjla _URL
2018-05-08 07:34:52	2277643500	Shankar Dev Koppala		16	rt AT_USER airline news southwest airlines plane struck by truck at bwi airport in maryland _URL _URL
2018-05-08 07:32:56	2555376348	TravelersUnited.org	Washington, DC, area	1	rt AT_USER the faa published a new awd requiring airlines to perform ultrasonic tests by 8 31 on cfm56 7b engine of fatal southw 
2018-05-08 07:32:52	982306708025434113	TRACEY SWANN	Huntsville, AL	2	rt AT_USER passenger who survived a fatal flight is suing southwest airlines _URL aircraft lawsuit passengers
2018-05-08 07:24:14	532055150	TravelPRNews.com	Global	0	AT_USER mineta san jose international airport welcomes southwest airlines new nonstop service to orlando _URL
2018-05-08 07:11:12	2335960920	Google News US	Mountain View, CA	0	pickup truck crashes into southwest airlines plane at baltimore airport _URL
2018-05-08 07:00:32	3345930844	Spotifly		0	live feed hawaiian airlines ceo irked by southwest buzz _URL
2018-05-08 06:51:16	861679744710057985	NewsUpdate24 Extra	www	0	viv 20180508 63005 usa vehicle incident usa north america the federal aviation administration on monday was _URL
2018-05-08 06:45:04	70973588	Zsolt Boszormenyi	Budapest, Hungary	0	rsoe edis event report the federal aviation administration on monday was investigating a collision between a sout _URL
2018-05-08 06:43:35	1584003230	Chase Fewell		0	had a perfect sunset the other day southwest airlines at san _URL
2018-05-08 06:01:42	213630806	Klaus D. Schinzel	Cologne Köln / Germany	0	pickup truck hit a southwest airlines boeing 737 _URL
2018-05-08 05:47:31	959127249810264064	callmedace		0	book you flights and confirmation southwest airlines you ll still take it
2018-05-08 05:45:04	206076432	k.srinivasan	New Delhi	0	watch internal investigation is underway as truck crashes into AT_USER plane _URL
2018-05-08 05:45:02	719293916	Camila		15	rt AT_USER photo pickup truck crashes into southwest airlines plane at baltimore airport the plane had just arrived from fort la 
2018-05-08 05:35:16	63517897	David DiGregorio	New York	0	pickup hits southwest airlines plane at baltimore airport dallas news blog _URL
2018-05-08 05:14:58	123356102	Glenville Morris	Edinburgh, Scotland	0	oh god yes finally only 7 years after passbook google are supporting boarding passes offline inside google pa _URL
2018-05-08 05:01:11	284981454	I 💙💜 10 & 26!!	Huntingdon Cambridgeshire	0	i liked a AT_USER video _URL truck crashes into southwest airlines plane
2018-05-08 04:59:34	1668692647	Vertigo [:@: BLFC	San Lorenzo, CA	6	rt AT_USER it s a 737 not a fucking deer it didn t just jump out in front of you _URL
2018-05-08 04:41:16	894513966143213569	LoverFuLL-OBI		0	pickup truck crashes into southwest airlines plane at baltimore airport _URL _URL
2018-05-08 04:35:00	17058133	Eye on L.A. Aviation	Los Angeles, CA	0	dallas says it has a plan to resolve southwest delta fight for love field gates dallas news _URL
2018-05-08 04:16:52	59034533	Shannon Kuiper	Albuquerque, NM	2	rt AT_USER video truck crashes into southwest airlines plane _URL
2018-05-08 04:14:55	46883587	Travel World		0	pickup truck strikes southwest plane at baltimore airport _URL
2018-05-08 04:11:22	877227248922890240	Aviation Tweets	Sheffield, England	0	pickup truck crashes into southwest airlines plane at baltimore airport _URL
2018-05-08 04:10:12	1878085399	Snake Oil Bot	Outside your door	0	the all new corselet from southwest airlines co better than a fledgling truckler 
2018-05-08 04:00:00	13115682	azcentral	Arizona	2	video truck crashes into southwest airlines plane _URL
2018-05-08 03:44:19	264547754	BR		0	dallas says it has a plan to resolve southwest delta fight for love field gates dallas news _URL
2018-05-08 03:44:08	46657423	Oscar Garcia	San Salvador.	2	rt AT_USER the federal aviation administration is calling for repeated inspections on the types of fan blades that came apart in the engine 
2018-05-08 03:32:03	17379685	NBC Los Angeles	Southern California	2	the federal aviation administration is calling for repeated inspections on the types of fan blades that came apart _URL
